Job Title,Applicant ID,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal
" Urgent Opening for ""US Staffing Professionals"" - Noida",102,1 - 5 yrs, technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,HR/ Recruitment / IR,"Delhi NCR,Noida","HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,121.0977529,14.6719732,2548
 Front Office Executive-Noida,103,1 - 2 yrs, Front Office Executive,,Noida,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist,77.3271074,28.5707841,2882
 Project Executive/coordinator,104,2 - 4 yrs, Project Administration| Coordination,Sales Support,Delhi (Bhikaji Cama) ,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator,77.1878709,28.5702618,6053
 Sterling OMS Architect,105,5 - 10 yrs, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,Chennai,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect,80.270186,13.0836939,1889
 Dot net Developer,106,3 - 5 yrs, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,"Gurgaon,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.00270015,28.42826235,6744
 Centreless Grinding Operator ,107,4 - 8 yrs, NCTVT,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician,73.8544541,18.521428,1586
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,108,8 - 13 yrs, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.00270015,28.42826235,5161
 Sales Lead,109,3 - 7 yrs, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,77.590082,12.9767936,5684
 Clerk - Garh Shankar (Vacancy-1),110,Not Mentioned,vide,,Chandigarh,"Executive Assistant , Front Office , Data Entry","Government, Defence",,76.7797143,30.7334421,4488
 Senior Design Engineer - Manufacturing,111,6 - 8 yrs, AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager,73.8544541,18.521428,3248
 Software Engineer Automation - Industrial Automation Job In Bangalore,112,3 - 5 yrs, Automation Engineer,Engineering Design,Bengaluru,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead,77.590082,12.9767936,2265
 Looking For Assistant Manager - Healthcare (US Visa is Must),113,5 - 10 yrs, Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Back Office/Web/Transaction Processing,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical),80.270186,13.0836939,1569
 Senior Accounts Executive,114,4 - 8 yrs,vide,Accounts,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,88.35769124,22.5414185,3724
 QA for Voice Process (LE-0097-N1C),115,2 - 6 yrs, Voice process| qaqc| Writing| Process operations| Verbal,Quality,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive,73.8544541,18.521428,3930
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",116,0 - 3 yrs, Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation,,Delhi NCR,Other,"Medical, Healthcare, Hospitals",Other,77.1212148,28.6882438,3934
,117,vide,vide,,,,,,11.0480288,46.3144754,6431
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,118,4 - 9 yrs, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager,77.00270015,28.42826235,6023
 Executive Medical Coder,119,0 - 0 yrs, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Other,"Chennai,Thanjavur,Karur,Salem,Hosur,Coimbatore","ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee,,,4388
 Account Assistant,120,3 - 5 yrs, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant,73.8544541,18.521428,2776
 Informatica Faculty Job Requirement in Hyderabad,121,1 - 6 yrs, Informatica Power Center| Informatica,Programming & Design,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,78.4740613,17.360589,1900
 SEO Expert/ Digital Marketing Gurgaon,122,2 - 4 yrs, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist,77.00270015,28.42826235,3304
 Head Engineering,123,5 - 10 yrs, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Production/Manufacturing/Maintenance,Delhi,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager,77.2219388,28.6517178,6496
 Business Development Executive,124,5 - 10 yrs, Forecasting,Finance/Audit,Delhi,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst,77.2219388,28.6517178,3327
 PPC Executive,125,3 - 7 yrs, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist,77.00270015,28.42826235,5858
 Opening For the post of Mr/territory Business Manager in An Pharma,126,0 - 2 yrs, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Retail Sales,"Delhi NCR,Delhi","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative,121.0977529,14.6719732,6677
 Deputy Manager - Program Management,127,2 - 6 yrs, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance,73.8544541,18.521428,6256
 Public Relations Manager - Bangalore,128,6 - 11 yrs, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager,77.590082,12.9767936,2980
 Female Fresher's Counsellor- Gurgaon,129,0 - 1 yrs, counselling| couselling| fresher| student counsellor| student counseling,Other,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher,77.00270015,28.42826235,3203
 BE Chemical - Fresher,130,0 - 2 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,"Ahmedabad,Bharuch","Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher,72.9384385,21.7379333,2117
 Senior .Net Developer For Leading IT Company in Gurgaon,131,2 - 7 yrs, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Programming & Design,"Delhi NCR,Gurgaon,Delhi","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,,,4640
 Hiring a Valuation Associate (female Only),132,0 - 4 yrs, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other,Gurgaon,Analytics & Business Intelligence,"Real Estate, Property",Other,77.00270015,28.42826235,6276
 Merchandising & Marketing- Professor,133,10 - 12 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,73.8544541,18.521428,5173
 Medical Transcriber,134,3 - 5 yrs, X - Ray| Medical Transcription| Ultrasound| CT Scan,Drug Regulatory Affairs/Documentation,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing,77.2219388,28.6517178,6125
 PHP Developer,135,0 - 3 yrs, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Programming & Design,"Noida,Noida/Greater Noida","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3327483,28.54322285,5518
 Business Development Manager,136,1 - 2 yrs, Sales| Management| Sales management| Educational sales,Retail Sales,Noida,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager,77.3271074,28.5707841,5099
 Looking for a Job Change With a good package,137,1 - 5 yrs, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,5809
 Huge Requirement for Customer Care Executive with Fixed Salary,138,0 - 2 yrs, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,4466
Assistant Manager – BI&I (data Automation),139, 5 - 7 Years,C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,Admin/Maintenance/Security/Datawarehousing, Mumbai,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking,IT/Networking-Manager,72.8773928,19.0759899,1565
 Field Sales Executive,140,0 - 2 yrs, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,Retail Sales,Ghaziabad,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.45268496,28.7218316,3150
 Sr. Manager Sales Capability Building,141,10 - 15 yrs, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,Sales Support,Kolkata,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales Trainer,88.35769124,22.5414185,3702
 Service Ops Expert - Servc Del | Microland,142,2 - 5 yrs, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),72.8773928,19.0759899,5079
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),143,4 - 9 yrs, planning| training| training manager| trainer| faculty,Teachers,"Ahmedabad,Indore","Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer,75.8226156,22.7066324,6619
 Sales Manager,144,3 - 6 yrs, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Retail Sales,Chandigarh,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,76.7797143,30.7334421,4874
 Field Support Team-Supervisor,145,4 - 5 yrs, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Admin/Maintenance/Security/Datawarehousing,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance",Other,Technical Support Engineer,72.5797068,23.0216238,5698
 Sr. C# Developer,146,1 - 6 yrs, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.5797068,23.0216238,5162
 Sr Structural Engineer,147,5 - 10 yrs, Senior Design Engineer| Engineering Design| SACS,Engineering Design,Mumbai,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,72.8773928,19.0759899,4160
 IT Security Head ,148,4 - 8 yrs, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Senior Management,Hyderabad,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO,78.4740613,17.360589,3495
 Technical Support Executive,149,2 - 5 yrs, Technical Support Executive| Electrical engineering,Voice,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate/Senior Associate -(Technical),73.8544541,18.521428,5049
 Analyst - Business Intelligence,150,1 - 3 yrs, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst,72.8773928,19.0759899,6346
Nokia WING Circuit Core - SMSC Engineer,151, 5 - 10 Years,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,Programming & Design,Noida,"IT Software - Network Administration , Security",Telecom / ISP,Software Developer,77.3271074,28.5707841,2040
 Assistant Restaurant Manager / Restaurant Manager,152,5 - 7 yrs, assistant restaurant manager| restaurant| restaurant manager,Food & Beverage,Delhi NCR,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager,77.1212148,28.6882438,4142
 Digital / Web Artist,153,0 - 3 yrs, layout| visualization| digital media| graphic design| html| illustration| tools| part time,Creative,"Mumbai,Mumbai","Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer,72.8773928,19.0759899,2409
 Business Development Manager,154,2 - 7 yrs, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Senior Management,"Mumbai,Mumbai","Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales,72.8773928,19.0759899,5623
 Web/ GUI Designer,155,3 - 5 yrs, photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Creative,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer,77.00270015,28.42826235,3031
" Web Designer - Html, CSS, Bootstrap, Photoshop",156,1 - 3 yrs, Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Graphic/Web Designer,72.5797068,23.0216238,5617
 Python Developer,157,1 - 3 yrs, Python,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,80.270186,13.0836939,6417
 Web Designer,158,4 - 5 yrs, server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer,72.5797068,23.0216238,6991
 AVP- FX MO,159,8 - 10 yrs, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,Senior Management,Mumbai,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations,72.8773928,19.0759899,2171
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura,160,4 - 9 yrs, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,Senior Management,"Delhi NCR,Mumbai,Pune,Ahmedabad,Nagpur,Nashik,Gujarat,Maharashtra","Sales , Retail , Business Development",Insurance,Head/VP/GM/National Manager -Sales,,,4449
 Head - Project Management,161,15 - 20 yrs, Project Management,Senior Management,Delhi NCR,"Production , Manufacturing , Maintenance","Real Estate, Property",Head/VP/GM-Operations,77.1212148,28.6882438,1704
 Walk- In For Development QA/ Regulatory Affairs,162,4 - 8 yrs, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,R&D,Hyderabad,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Research Scientist,78.4740613,17.360589,6937
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp),163,10 - 14 yrs, accounting| finance| financial reporting| statutory compliance| gst| vat,Accounts,Delhi NCR,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel,Accounts Manager,77.1212148,28.6882438,2770
 Team Leader- Head Digital Prtnrshp & BD,164,8 - 12 yrs, Data analysis| Consumer research| Management| Head Business Development,Retail Sales,Mumbai,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,72.8773928,19.0759899,6205
 DWH Tester - Manual Testing,165,4 - 6 yrs, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,Programming & Design,"Delhi NCR,Gurgaon",IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,77.10436033,28.42208445,1918
 Quality Assurance Engineer,166,3 - 5 yrs, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,QA/Testing/Documentation,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Quality Assurance/Quality Control Executive,78.4740613,17.360589,6652
 Technical / Functional Skills,167,4 - 9 yrs, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Institutional Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,72.8773928,19.0759899,5227
 Software Development / Software Engineer,168,2 - 4 yrs, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,5554
,169,vide,vide,,,,,,11.0480288,46.3144754,6449
 Inbound Phone Banking Voice Process - Leading Bank - Noida,170,0 - 2 yrs, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,Voice,Noida,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",Associate/Senior Associate -(NonTechnical),77.3271074,28.5707841,6440
Java Enterprise Edition,171, 2 - 4 Years,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,Programming & Design, Mumbai,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,72.8773928,19.0759899,1954
 Associate Clinical Data Processor,172,0 - 1 yrs, MS Office| Data entry,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical),72.8773928,19.0759899,5541
,173,vide,Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Counter|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales,,,,,,11.0480288,46.3144754,4015
 CRM,174,1 - 2 yrs, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Corporate Sales,Bengaluru,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.590082,12.9767936,5386
 Magento Developer,175,2 - 7 yrs, Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,Programming & Design,Ahmedabad,IT Software - System Programming,"BPO, Call Centre, ITeS",Software Developer,72.5797068,23.0216238,1965
 Merchandiser,176,2 - 7 yrs, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,Production/Merchandising/Business Development,"Thane,Mumbai,Navi Mumbai","Export , Import , Merchandising","Textiles, Garments, Accessories",Merchandiser,73.0198537,19.0308262,4456
 SIEM Analyst,177,2 - 5 yrs,vide,Admin/Maintenance/Security/Datawarehousing,"Hyderabad,Bengaluru","IT Software - Network Administration , Security","Recruitment, Staffing",System Security,77.6370384,13.023331,5150
 Hiring ll Azure Devops and Management Lead ll Hyderabad,178,6 - 11 yrs, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,78.4740613,17.360589,2275
 Senior Faculty - Information Design,179,15 - 20 yrs,vide,,Bengaluru,"Teaching , Education , Training , Counselling","Education, Teaching, Training",,77.590082,12.9767936,6053
 computer operator,180,1 - 3 yrs, Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level,,"Gurgaon,Noida","Executive Assistant , Front Office , Data Entry","IT-Software, Software Services",Stenographer/Data Entry Operator,77.00270015,28.42826235,1567
 Operation Executive,181,2 - 3 yrs, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,Administration/Facility Management,Delhi NCR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Executive/ Sr Executive - Administration,77.1212148,28.6882438,6411
 Customer Support Executive,182,0 - 1 yrs, Customer Support Executive| Customer service| Business Executive| process,Voice,Chandigarh,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),76.7797143,30.7334421,6307
 Corporate-Day Care Manager.,183,2 - 4 yrs, Staff Training| Day Care| Recruitment,Teachers,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",DaycareTeacher / Incharge / Attendant,73.8544541,18.521428,5736
 Hiring going on for .US Inbound Tech Support/ Sales,184,1 - 6 yrs, process| Spot| Technical support| Night shift| International BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),88.35769124,22.5414185,5197
Deputy Manager- Performance/digital Marketing,185, 4 - 9 Years,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,Online/Digital Marketing, Delhi NCR,"Marketing , Advertising , MR , PR , Media Planning",Education / Teaching / Training,Social Media Marketing Manager,77.1212148,28.6882438,3419
" Technical Lead -(VoIP,Cisco Call Manager)",186,2 - 7 yrs, java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Programming & Design,"Bengaluru,Bengaluru / Bangalore",IT Software - Telecom Software,"IT-Software, Software Services",Team Lead/Technical Lead,77.590082,12.9767936,6134
,187,vide,vide,,,,,,11.0480288,46.3144754,4662
 Relationship Manager,188,3 - 8 yrs, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,Channel Sales,Chandigarh,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Sales / BD Manager,76.7797143,30.7334421,2897
" Technician, Technical Support",189,0 - 4 yrs, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Admin/Maintenance/Security/Datawarehousing,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,77.00270015,28.42826235,5174
 Graphic Designer,190,2 - 4 yrs, Illustrator| Corel Draw| Photoshop,Creative,Gurgaon,"Design , Creative , User Experience","Education, Teaching, Training",Graphic Designer,77.00270015,28.42826235,3523
 Consultant,191,2 - 5 yrs, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer,77.3271074,28.5707841,5116
 Immediate Requirement for Fusion Technical Lead Developer,192,10 - 16 yrs, Technical Architecture| Fusion| Oracle Fusion,Programming & Design,"Delhi NCR,Mumbai,Bengaluru","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,121.0977529,14.6719732,1571
 Layout Designer / Web Designer,193,1 - 5 yrs, Layout design| Corel Draw| Web designing| Photoshop,Programming & Design,Ahmedabad,IT Software - Other,"Recruitment, Staffing",Graphic/Web Designer,72.5797068,23.0216238,4452
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc,194,0 - 4 yrs, Bpo Voice| Voice Process| International BPO,Voice,"Mumbai,Mumbai Suburbs,Navi Mumbai,Thane,Vasai","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),,,6576
 Asp.net with Angular JS & Html5 - Hyderabad,195,5 - 7 yrs, HTML5| ASP,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5816
 Sales Manager Product and Portfolio,196,5 - 10 yrs, Product training| Sales| Relationship| Banking| Recruitment,Retail Sales,Hyderabad,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,78.4740613,17.360589,5244
 Key Accounts Manager,197,6 - 11 yrs, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts,Corporate Sales,Mumbai,"Sales , Retail , Business Development","Recruitment, Staffing",Client Servicing/Key Account Manager,72.8773928,19.0759899,4830
 Store Head-leading Manufacturing Company,198,10 - 15 yrs, Stores| warehouse| Logistics,Logistics,Bengaluru,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Manager,77.590082,12.9767936,5436
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl,199,2 - 6 yrs, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,2415
 Java Software Engineer,200,1 - 5 yrs, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer,77.590082,12.9767936,3812
 Admin Executive,201,2 - 5 yrs, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,Administration/Facility Management,Chandigarh,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Executive/ Sr Executive - Administration,76.7797143,30.7334421,3055
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa,202,12 - 17 yrs, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,Senior Management,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-Finance/Audit,88.35769124,22.5414185,1789
 Accounts Manager (male),203,7 - 12 yrs, Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts,"Gurgaon,Noida","Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,77.00270015,28.42826235,5212
